alphabet_size		#patterns		pattern-size		text-size		d		#clustered-clumps		time(in sec)
4		2		10		1000		5		126		0.000266075
4		20		80		1000		10		187		0.000737906
4		40		160		1000		20		135		0.00142884
4		80		320		1000		40		76		0.00256395
4		160		640		1000		80		1		0.00487995
4		2		10		2000		5		277		0.000467062
4		20		80		2000		10		291		0.00172997
4		40		160		2000		20		324		0.0026648
4		80		320		2000		40		209		0.00529099
4		160		640		2000		80		24		0.011097
4		2		10		4000		5		131		0.000749826
4		20		80		4000		10		880		0.00294304
4		40		160		4000		20		617		0.00487208
4		80		320		4000		40		269		0.0100751
4		160		640		4000		80		1		0.0223181
4		2		10		8000		5		146		0.00214696
4		20		80		8000		10		1081		0.00510287
4		40		160		8000		20		1632		0.0127559
4		80		320		8000		40		598		0.0211759
4		160		640		8000		80		1		0.0496161
4		2		10		16000		5		5		0.0037241
4		20		80		16000		10		3090		0.012537
4		40		160		16000		20		3536		0.022563
4		80		320		16000		40		1538		0.047112
4		160		640		16000		80		26		0.079937
4		2		10		32000		5		6003		0.00915504
4		20		80		32000		10		5706		0.0219789
4		40		160		32000		20		5263		0.0434279
4		80		320		32000		40		3510		0.0778739
4		160		640		32000		80		1		0.170975
4		2		10		64000		5		6016		0.017601
4		20		80		64000		10		12628		0.0557981
4		40		160		64000		20		11049		0.0949981
4		80		320		64000		40		4208		0.165849
4		160		640		64000		80		1435		0.349197
