alphabet_size		#patterns		pattern-size		text-size		d		#clustered-clumps		time(in sec)
4		2		10		1000		5		15		0.100878
4		20		80		1000		10		159		0.118012
4		40		160		1000		20		180		0.145513
4		80		320		1000		40		155		0.201835
4		160		640		1000		80		1		0.336652
4		2		10		2000		5		10		0.101131
4		20		80		2000		10		181		0.152425
4		40		160		2000		20		366		0.238463
4		80		320		2000		40		321		0.369094
4		160		640		2000		80		10		0.675164
4		2		10		4000		5		18		0.111129
4		20		80		4000		10		767		0.274754
4		40		160		4000		20		1037		0.456804
4		80		320		4000		40		747		0.837043
4		160		640		4000		80		42		1.61313
4		2		10		8000		5		0		0.145388
4		20		80		8000		10		1268		0.576116
4		40		160		8000		20		1834		1.01727
4		80		320		8000		40		1004		1.95901
4		160		640		8000		80		483		3.94166
4		2		10		16000		5		61		0.233174
4		20		80		16000		10		2976		1.3944
4		40		160		16000		20		3159		2.68106
4		80		320		16000		40		2156		4.78969
4		160		640		16000		80		414		10.9068
4		2		10		32000		5		533		0.436664
4		20		80		32000		10		4701		3.05035
4		40		160		32000		20		6581		6.21184
4		80		320		32000		40		3841		13.1648
4		160		640		32000		80		2083		24.15
4		2		10		64000		5		3973		0.862002
4		20		80		64000		10		5357		6.77648
4		40		160		64000		20		10362		13.8502
4		80		320		64000		40		11167		27.0057
4		160		640		64000		80		3419		53.8061
