alphabet_size		#patterns		pattern-size		text-size		d		#clustered-clumps		time(in sec)
4		2		10		1000		5		6		0.103118
4		20		80		1000		10		182		0.118979
4		40		160		1000		20		205		0.15097
4		80		320		1000		40		94		0.226447
4		160		640		1000		80		20		0.352404
4		2		10		2000		5		33		0.106864
4		20		80		2000		10		225		0.169525
4		40		160		2000		20		384		0.250858
4		80		320		2000		40		318		0.375202
4		160		640		2000		80		82		0.746864
4		2		10		4000		5		210		0.111288
4		20		80		4000		10		582		0.29656
4		40		160		4000		20		807		0.500531
4		80		320		4000		40		801		0.899121
4		160		640		4000		80		143		1.66109
4		2		10		8000		5		247		0.154747
4		20		80		8000		10		1562		0.733286
4		40		160		8000		20		1819		1.07632
4		80		320		8000		40		662		2.13817
4		160		640		8000		80		339		4.46326
4		2		10		16000		5		499		0.320822
4		20		80		16000		10		2222		1.7584
4		40		160		16000		20		2965		3.00516
4		80		320		16000		40		987		6.3442
4		160		640		16000		80		1078		12.021
4		2		10		32000		5		2028		0.551139
4		20		80		32000		10		6268		3.83017
4		40		160		32000		20		6024		6.40124
4		80		320		32000		40		2565		15.3586
4		160		640		32000		80		1185		30.9009
4		2		10		64000		5		1644		1.16274
4		20		80		64000		10		4973		6.60779
4		40		160		64000		20		12118		14.4686
4		80		320		64000		40		11695		29.8097
4		160		640		64000		80		1		62.5258
